car_id,gmtTime,srcAddrOrg,lng,lat,isArriveOrLeft,stationSeqNum,gmtTime1,timedelta
50079546,2017-05-08 05:08:24+08:00,720040,120.14617700000001,30.232305,1,42,,
50079546,2017-05-08 05:09:54+08:00,720040,120.136854,30.229625,1,41,2017-05-08 05:08:24+08:00,0 days 00:01:30.000000000
50079546,2017-05-08 05:11:24+08:00,720040,120.13328500000001,30.225727000000003,2,41,2017-05-08 05:09:54+08:00,0 days 00:01:30.000000000
50079580,2017-05-08 05:15:54+08:00,720040,120.159448,30.255267,2,1,2017-05-08 05:11:24+08:00,0 days 00:04:30.000000000
50079580,2017-05-08 05:17:16+08:00,720040,120.15703799999999,30.251925,1,2,2017-05-08 05:15:54+08:00,0 days 00:01:22.000000000
50079580,2017-05-08 05:18:46+08:00,720040,120.156026,30.247996999999998,2,2,2017-05-08 05:17:16+08:00,0 days 00:01:30.000000000
50079580,2017-05-08 05:19:14+08:00,720040,120.154798,30.24571,1,3,2017-05-08 05:18:46+08:00,0 days 00:00:28.000000000
50079580,2017-05-08 05:20:33+08:00,720040,120.153438,30.241159000000003,1,4,2017-05-08 05:19:14+08:00,0 days 00:01:19.000000000
50079580,2017-05-08 05:21:32+08:00,720040,120.15209899999999,30.237716,1,5,2017-05-08 05:20:33+08:00,0 days 00:00:59.000000000
50079580,2017-05-08 05:22:57+08:00,720040,120.149552,30.23225,1,6,2017-05-08 05:21:32+08:00,0 days 00:01:25.000000000
50079580,2017-05-08 05:24:02+08:00,720040,120.145247,30.232228999999997,1,7,2017-05-08 05:22:57+08:00,0 days 00:01:05.000000000
50079580,2017-05-08 05:25:32+08:00,720040,120.137901,30.22995,2,7,2017-05-08 05:24:02+08:00,0 days 00:01:30.000000000
50079580,2017-05-08 05:25:48+08:00,720040,120.136583,30.229419,1,8,2017-05-08 05:25:32+08:00,0 days 00:00:16.000000000
50079580,2017-05-08 05:27:18+08:00,720040,120.13364299999999,30.226937,2,8,2017-05-08 05:25:48+08:00,0 days 00:01:30.000000000
50079580,2017-05-08 05:30:30+08:00,720040,120.13036399999999,30.212563,1,11,2017-05-08 05:27:18+08:00,0 days 00:03:12.000000000
50079580,2017-05-08 05:32:00+08:00,720040,120.13293300000001,30.206071,2,11,2017-05-08 05:30:30+08:00,0 days 00:01:30.000000000
50079580,2017-05-08 05:32:11+08:00,720040,120.133228,30.205284999999996,1,12,2017-05-08 05:32:00+08:00,0 days 00:00:11.000000000
50079580,2017-05-08 05:33:36+08:00,720040,120.129741,30.199633000000002,1,13,2017-05-08 05:32:11+08:00,0 days 00:01:25.000000000
50079583,2017-05-08 05:34:24+08:00,720040,120.157298,30.252166,1,2,2017-05-08 05:33:36+08:00,0 days 00:00:48.000000000
50079580,2017-05-08 05:35:03+08:00,720040,120.123253,30.195159000000004,1,14,2017-05-08 05:34:24+08:00,0 days 00:00:39.000000000
50079546,2017-05-08 05:35:41+08:00,720040,120.13081000000001,30.210565000000003,1,38,2017-05-08 05:35:03+08:00,0 days 00:00:38.000000000
50079583,2017-05-08 05:35:42+08:00,720040,120.15498500000001,30.246139000000003,1,3,2017-05-08 05:35:41+08:00,0 days 00:00:01.000000000
50079580,2017-05-08 05:32:11+08:00,720040,120.133228,30.205284999999996,1,12,2017-05-08 05:32:00+08:00,0 days 00:00:51.000000000
50079580,2017-05-08 05:33:36+08:00,720040,120.129741,30.199633000000002,1,13,2017-05-08 05:32:11+08:00,0 days 00:00:38.000000000
50079583,2017-05-08 05:35:42+08:00,720040,120.15498500000001,30.246139000000003,1,3,2017-05-08 05:35:41+08:00,0 days 00:00:01.000000000
50079583,2017-05-08 05:37:39+08:00,720040,120.153489,30.241739000000003,1,4,2017-05-08 05:37:12+08:00,0 days 00:00:27.000000000
50079580,2017-05-08 05:33:36+08:00,720040,120.129741,30.199633000000002,1,13,2017-05-08 05:32:11+08:00,0 days 00:01:03.000000000
50079580,2017-05-08 05:30:30+08:00,720040,120.13036399999999,30.212563,1,11,2017-05-08 05:27:18+08:00,0 days 00:00:58.000000000
50079583,2017-05-08 05:40:12+08:00,720040,120.15081599999999,30.232653000000003,2,5,2017-05-08 05:39:40+08:00,0 days 00:00:32.000000000
50079583,2017-05-08 05:40:27+08:00,720040,120.150403,30.232421999999996,1,6,2017-05-08 05:40:12+08:00,0 days 00:00:15.000000000
50079583,2017-05-08 05:37:39+08:00,720040,120.153489,30.241739000000003,1,4,2017-05-08 05:37:12+08:00,0 days 00:00:43.000000000
50079583,2017-05-08 05:41:18+08:00,720040,120.146248,30.232295,1,7,2017-05-08 05:41:10+08:00,0 days 00:00:08.000000000
50079583,2017-05-08 05:34:24+08:00,720040,120.157298,30.252166,1,2,2017-05-08 05:33:36+08:00,0 days 00:00:11.000000000
50079583,2017-05-08 05:34:24+08:00,720040,120.157298,30.252166,1,2,2017-05-08 05:33:36+08:00,0 days 00:01:16.000000000
50079546,2017-05-08 05:42:59+08:00,720040,120.14343500000001,30.231753,2,41,2017-05-08 05:42:45+08:00,0 days 00:00:14.000000000
50079550,2017-05-08 05:43:37+08:00,720040,120.161571,30.256541,2,1,2017-05-08 05:42:59+08:00,0 days 00:00:38.000000000
50079580,2017-05-08 05:32:00+08:00,720040,120.13293300000001,30.206071,2,11,2017-05-08 05:30:30+08:00,0 days 00:00:38.000000000
50079583,2017-05-08 05:37:39+08:00,720040,120.153489,30.241739000000003,1,4,2017-05-08 05:37:12+08:00,0 days 00:00:07.000000000
50079550,2017-05-08 05:45:13+08:00,720040,120.160665,30.256384999999998,2,1,2017-05-08 05:44:22+08:00,0 days 00:00:51.000000000
50079550,2017-05-08 05:45:13+08:00,720040,120.160665,30.256384999999998,2,1,2017-05-08 05:44:22+08:00,0 days 00:00:02.000000000
50079580,2017-05-08 05:45:17+08:00,720040,120.114094,30.189220000000002,2,16,2017-05-08 05:45:15+08:00,0 days 00:00:02.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:35.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:20.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:19.000000000
50079580,2017-05-08 05:46:45+08:00,720040,120.11821,30.190926,2,16,2017-05-08 05:46:31+08:00,0 days 00:00:14.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:33.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:08.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:16.000000000
50079550,2017-05-08 05:47:46+08:00,720040,120.1572,30.252098999999998,1,2,2017-05-08 05:47:42+08:00,0 days 00:00:04.000000000
50079580,2017-05-08 05:30:30+08:00,720040,120.13036399999999,30.212563,1,11,2017-05-08 05:27:18+08:00,0 days 00:00:23.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:38.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:09.000000000
50079580,2017-05-08 05:30:30+08:00,720040,120.13036399999999,30.212563,1,11,2017-05-08 05:27:18+08:00,0 days 00:00:15.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:01.000000000
50079580,2017-05-08 05:32:11+08:00,720040,120.133228,30.205284999999996,1,12,2017-05-08 05:32:00+08:00,0 days 00:00:27.000000000
50079580,2017-05-08 05:30:30+08:00,720040,120.13036399999999,30.212563,1,11,2017-05-08 05:27:18+08:00,0 days 00:00:05.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:21.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:12.000000000
50079583,2017-05-08 05:45:52+08:00,720040,120.130885,30.218760999999997,2,9,2017-05-08 05:45:17+08:00,0 days 00:00:13.000000000
50079580,2017-05-08 05:30:30+08:00,720040,120.13036399999999,30.212563,1,11,2017-05-08 05:27:18+08:00,0 days 00:00:23.000000000
50079580,2017-05-08 05:51:14+08:00,720040,120.132906,30.204124,2,18,2017-05-08 05:50:53+08:00,0 days 00:00:21.000000000
